game_index,food_eaten,kills,num_ticks_lived
1,0,0,251
2,0,0,251
3,6,1,251
4,1,0,304
5,10,1,124
6,0,0,42
7,6,1,165
8,1,0,42
9,2,0,158
10,2,0,272
11,3,0,131
12,0,0,162
13,4,1,134
14,0,0,24
15,12,3,97
16,2,0,34
17,1,0,268
18,2,0,174
19,1,2,21
20,0,0,251
21,2,0,83
22,8,2,149
23,2,0,102
24,0,0,17
25,0,0,251
26,9,1,163
27,0,0,16
28,4,1,70
29,4,1,42
30,0,0,30
31,0,0,89
32,4,1,82
33,1,0,300
34,5,1,112
35,3,0,102
36,7,2,120
37,2,0,46
38,2,0,49
39,2,0,276
40,12,1,203
41,0,1,39
42,0,0,33
43,4,1,189
44,0,1,38
45,2,0,90
46,12,0,120
47,0,0,27
48,2,0,74
49,1,0,264
50,12,3,125
51,0,0,251
52,0,1,24
53,1,0,275
54,4,0,104
55,4,0,63
56,7,2,92
57,2,0,39
58,1,0,49
59,1,0,23
60,1,0,79
61,4,2,95
62,5,0,100
63,4,1,93
64,4,1,89
65,1,2,45
66,5,3,316
67,0,0,42
68,3,0,382
69,0,0,36
70,0,0,26
71,12,1,173
72,1,0,53
73,1,1,38
74,15,2,180
75,6,1,198
76,7,0,79
77,0,0,49
78,1,1,66
79,2,0,97
80,0,0,28
81,4,0,122
82,4,1,292
83,0,0,23
84,10,3,86
85,1,0,22
86,3,0,78
87,5,3,58
88,4,1,73
89,0,0,87
90,12,1,240
91,2,0,55
92,8,1,202
93,1,1,29
94,1,1,262
95,6,1,84
96,2,0,143
97,1,0,81
98,5,1,164
99,3,0,45
100,7,0,101
101,1,0,44
102,0,0,29
103,2,0,274
104,4,1,123
105,10,1,123
106,2,0,47
107,1,1,23
108,3,0,205
109,8,2,104
110,4,1,144
111,9,1,123
112,3,1,146
113,8,1,107
114,4,1,218
115,12,0,243
116,2,0,86
117,0,0,52
118,11,1,183
119,7,2,54
120,3,0,83
121,1,0,50
122,6,1,146
123,0,0,91
124,4,1,56
125,4,1,43
126,1,0,264
127,3,0,66
128,2,0,53
129,4,2,124
130,2,0,117
131,0,0,251
132,0,0,43
133,0,0,42
134,3,0,108
135,3,0,109
136,2,1,100
137,14,3,156
138,2,0,28
139,1,0,37
140,16,1,226
141,12,1,200
142,1,0,24
143,4,0,63
