game_index,food_eaten,kills,num_ticks_lived
1,0,0,251
2,0,0,251
3,1,0,461
4,0,0,47
5,0,0,92
6,0,1,30
7,0,0,251
8,0,0,251
9,0,0,251
10,0,0,251
11,1,0,201
12,1,0,304
13,0,0,251
14,0,0,251
15,0,1,57
16,0,0,217
17,0,0,29
18,1,0,43
19,1,0,20
20,0,0,103
21,0,0,251
22,0,0,102
23,0,0,251
24,0,0,251
25,0,0,68
26,0,0,251
27,0,0,12
28,0,0,251
29,4,2,112
30,0,0,156
31,1,0,155
32,0,1,119
33,0,0,251
34,0,0,251
35,2,0,354
36,0,0,37
37,0,0,14
38,0,0,251
39,0,0,33
40,0,0,66
41,0,0,20
42,0,1,11
43,0,0,123
44,2,0,50
45,1,0,432
46,1,0,253
47,0,0,56
48,1,0,135
49,0,1,26
50,2,0,130
51,2,0,70
52,0,0,39
53,1,0,273
54,0,0,251
55,1,1,143
56,1,0,245
57,0,0,179
58,0,0,186
59,0,1,12
60,2,0,309
61,6,1,150
62,0,0,14
63,0,0,28
64,1,0,28
65,1,0,195
66,0,0,26
67,0,0,251
68,2,1,43
69,1,0,102
70,0,1,15
71,4,2,115
72,0,0,182
73,0,0,57
74,0,0,90
75,0,0,40
76,1,0,81
77,4,1,131
78,0,0,61
79,0,0,76
80,0,0,251
81,0,0,77
82,0,0,251
83,0,0,251
84,0,0,251
85,0,0,18
86,0,0,195
87,0,0,119
88,0,0,251
89,0,0,251
90,0,0,18
91,0,0,145
92,0,0,158
93,1,0,358
94,0,0,251
95,0,1,8
96,0,1,130
97,0,0,23
98,1,0,291
99,0,0,179
100,1,0,158
101,0,0,251
102,0,0,133
103,0,1,11
104,0,1,144
105,1,0,207
106,0,0,51
107,0,0,251
108,0,1,28
109,1,0,102
110,0,0,251
111,0,1,56
112,0,0,251
113,0,0,24
114,1,0,435
115,0,0,221
116,1,0,435
117,1,1,252
118,0,0,174
119,2,0,51
120,0,0,130
121,0,0,251
122,0,0,244
123,0,0,27
124,1,0,131
125,1,0,365
126,2,1,46
127,0,0,145
128,0,0,251
129,1,0,71
130,0,0,52
131,0,0,251
132,1,1,110
133,0,0,45
134,0,0,251
135,0,0,251
136,0,1,19
137,0,0,251
138,0,0,251
139,0,0,251
140,0,0,179
141,1,0,42
142,0,0,32
143,0,0,251
