game_index,food_eaten,kills,num_ticks_lived
1,0,1,13
2,2,0,37
3,3,0,29
4,2,0,35
5,4,1,52
6,0,0,13
7,2,0,33
8,9,2,86
9,0,0,15
10,4,2,60
11,1,0,19
12,3,0,57
13,4,1,72
14,1,1,26
15,2,0,32
16,4,3,39
17,1,0,27
18,5,1,55
19,1,1,21
20,3,0,38
21,2,0,30
22,2,1,15
23,2,1,36
24,4,2,65
25,0,0,29
26,4,0,71
27,5,2,40
28,1,0,23
29,9,1,98
30,4,1,56
31,1,1,28
32,1,0,17
33,2,0,28
34,7,0,100
35,5,1,102
36,0,0,6
37,4,2,71
38,1,0,21
39,4,2,45
40,4,0,31
41,6,2,70
42,0,1,11
43,0,0,9
44,4,0,41
45,4,1,54
46,6,1,71
47,5,1,91
48,2,0,32
49,1,0,16
50,2,0,29
51,3,0,42
52,1,0,18
53,0,1,12
54,0,0,10
55,1,0,17
56,3,0,50
57,9,2,112
58,4,2,37
59,0,1,12
60,6,1,100
61,5,0,92
62,1,1,21
63,2,0,27
64,1,0,11
65,2,0,80
66,3,0,30
67,1,0,22
68,7,0,112
69,4,1,58
70,1,1,15
71,3,1,54
72,4,1,70
73,0,0,15
74,4,0,47
75,2,0,17
76,3,1,44
77,6,2,40
78,2,0,31
79,7,1,93
80,4,1,26
81,2,0,44
82,1,0,53
83,3,1,55
84,3,1,50
85,4,2,58
86,4,1,58
87,13,1,124
88,4,2,35
89,3,0,34
90,7,0,83
91,10,1,117
92,4,1,73
93,3,0,62
94,3,0,29
95,0,1,8
96,2,0,19
97,1,0,19
98,4,0,50
99,1,1,12
100,3,1,50
101,4,1,59
102,1,0,20
103,1,1,11
104,3,1,47
105,8,0,90
106,6,0,60
107,3,1,27
108,2,0,26
109,1,0,42
110,1,0,16
111,1,0,14
112,1,1,28
113,2,0,28
114,5,2,105
115,2,0,26
116,0,1,38
117,3,0,78
118,1,0,11
119,3,1,24
120,5,0,84
121,2,0,53
122,1,1,10
123,4,0,46
124,2,0,29
125,11,1,81
126,3,1,27
127,1,0,24
128,3,0,48
129,3,0,29
130,4,2,62
131,0,1,15
132,3,0,40
133,1,0,29
134,4,0,72
135,3,0,34
136,2,1,19
137,0,0,9
138,1,1,36
139,2,1,46
140,3,0,35
141,1,1,36
142,1,0,27
143,2,0,32
144,1,0,26
145,1,1,23
146,6,2,82
147,3,1,47
148,0,0,12
149,11,3,126
150,9,1,79
151,0,0,21
152,1,1,9
153,4,0,43
154,4,1,32
155,4,0,35
156,2,0,42
157,2,1,33
158,4,1,52
159,1,1,17
160,5,1,68
161,4,1,49
162,1,1,12
163,2,0,38
164,4,1,68
165,4,1,62
166,8,1,58
167,4,2,43
168,4,2,44
169,0,1,20
170,4,1,55
171,3,0,61
172,3,0,38
173,5,2,80
174,5,2,62
175,2,1,62
176,1,1,12
177,0,0,14
178,3,0,33
179,2,1,26
180,6,1,116
181,0,0,21
182,7,0,104
183,1,0,23
184,1,0,20
185,6,0,83
186,4,1,66
187,3,0,40
188,4,1,54
189,2,2,42
190,2,0,41
191,2,1,26
192,4,1,84
193,0,0,8
194,0,0,18
195,4,2,42
196,0,0,15
197,8,1,97
198,2,0,39
199,4,1,43
200,3,0,36
201,1,1,21
202,4,1,47
203,1,0,26
204,2,0,47
205,2,0,59
206,3,1,37
207,4,2,28
208,4,1,67
209,4,1,48
210,5,1,62
211,4,1,50
212,4,2,27
213,2,0,41
214,4,0,33
215,5,0,61
216,3,0,39
217,3,1,40
218,2,0,25
219,2,1,19
220,0,0,7
221,2,0,43
222,1,0,20
223,4,1,46
224,6,2,64
225,1,0,23
226,2,0,30
227,4,1,50
228,4,0,82
229,6,0,62
230,2,1,15
231,0,0,27
232,1,0,30
233,3,0,42
234,0,0,23
235,5,0,48
236,2,1,52
237,4,1,33
238,2,3,23
239,5,2,22
240,2,0,31
241,1,1,16
242,1,1,22
243,7,1,65
244,3,0,32
245,0,1,11
246,0,0,10
247,1,0,17
248,3,0,25
249,1,1,10
250,4,0,80
251,1,0,29
252,3,0,24
253,3,2,75
254,9,0,97
255,4,1,63
256,7,0,168
257,4,1,64
258,3,0,45
259,6,1,104
260,0,1,7
261,2,0,36
262,4,0,64
263,1,1,24
264,1,0,19
265,1,0,18
266,4,1,54
267,3,0,56
268,4,1,73
269,6,1,81
270,1,0,18
271,2,0,32
272,1,0,29
273,4,0,44
274,2,0,37
275,0,0,10
276,2,0,42
277,2,0,39
278,1,0,29
279,1,0,14
280,3,1,59
281,2,1,10
282,1,0,21
283,4,1,48
284,4,1,85
285,0,0,34
286,4,1,42
287,4,1,36
288,1,1,34
289,2,0,20
290,5,1,61
291,7,3,79
292,1,0,17
293,1,0,19
294,6,1,118
295,4,1,74
296,5,2,58
297,1,0,42
298,2,0,42
299,6,1,67
300,1,0,19
301,4,1,49
302,3,0,46
303,4,1,60
304,0,0,7
305,1,2,22
306,5,0,92
307,4,1,39
308,2,1,10
309,6,2,89
310,2,1,46
311,1,0,14
312,0,0,14
313,1,1,12
314,4,0,52
315,5,1,37
316,6,2,84
317,0,1,18
318,4,1,32
319,4,1,22
320,2,0,47
321,2,0,31
322,5,0,80
323,2,0,38
324,9,1,100
325,1,0,67
326,1,0,18
327,0,1,8
328,5,0,70
329,4,1,69
330,4,1,36
331,7,2,75
332,3,1,46
333,1,1,17
334,1,1,13
335,7,1,53
336,2,0,31
337,4,1,39
338,4,1,43
339,6,1,87
340,4,1,33
341,5,1,76
342,5,0,65
343,1,0,18
344,5,0,46
345,1,0,19
346,7,2,58
347,3,1,34
348,3,0,84
349,6,2,60
350,3,0,62
351,2,0,33
352,7,1,99
353,2,0,7
354,5,0,45
355,4,1,69
356,1,1,21
357,7,1,101
358,4,1,55
359,2,0,53
360,3,1,17
361,5,0,92
362,3,0,45
363,2,0,35
364,1,0,22
365,5,0,70
366,1,1,13
367,1,0,20
368,3,0,36
369,5,0,74
370,2,1,28
371,6,2,105
372,5,2,71
373,1,1,28
374,4,0,47
375,8,1,107
376,1,0,25
377,4,2,72
378,0,0,12
379,6,1,98
380,11,2,85
381,2,0,25
382,2,1,43
383,1,0,18
384,4,1,67
385,1,0,14
386,4,0,52
387,1,0,38
388,4,0,55
389,4,2,33
390,0,1,15
391,2,0,46
392,1,0,25
393,0,0,24
394,3,0,29
395,2,0,29
396,3,0,54
397,4,0,90
398,0,0,13
399,1,1,21
400,3,0,52
401,3,1,46
402,2,0,35
403,6,1,43
404,1,0,18
405,6,1,45
406,0,0,10
407,4,2,48
408,5,0,44
409,3,0,66
410,1,0,24
411,4,1,35
412,1,0,16
413,0,0,22
414,5,1,100
415,4,2,47
416,3,0,27
417,0,0,19
418,4,1,44
419,3,0,39
420,1,2,12
421,0,1,13
422,6,0,83
423,4,1,36
424,1,0,16
425,1,1,39
426,3,0,55
427,1,0,41
428,1,0,23
429,0,0,16
430,2,1,24
431,2,0,58
432,1,1,21
433,1,1,22
434,1,1,43
435,0,0,15
436,0,1,34
437,0,1,16
438,1,0,29
439,4,1,47
440,3,0,37
441,2,0,25
442,1,0,17
443,0,1,38
444,1,1,45
445,3,0,34
446,4,1,53
447,6,1,84
448,1,1,26
449,3,0,67
450,5,2,74
