game_index,food_eaten,kills,num_ticks_lived
1,0,1,13
2,3,0,26
3,3,0,28
4,1,0,20
5,5,0,57
6,3,2,30
7,1,0,25
8,12,0,194
9,2,0,34
10,5,1,60
11,1,0,23
12,17,2,176
13,17,1,181
14,1,2,26
15,3,1,57
16,6,0,92
17,3,0,20
18,19,2,263
19,16,2,206
20,13,1,144
21,5,0,56
22,10,1,135
23,25,2,292
24,0,0,30
25,4,1,30
26,1,1,19
27,7,0,80
28,14,2,152
29,2,0,26
30,5,1,90
31,1,1,28
32,10,1,119
33,1,0,16
34,21,1,225
35,15,0,201
36,7,0,126
37,14,2,182
38,15,2,171
39,10,1,76
40,17,1,176
41,1,0,31
42,0,0,45
43,20,2,222
44,7,2,90
45,0,0,52
46,0,0,30
47,1,0,36
48,11,1,126
49,1,1,26
50,9,1,110
51,8,0,127
52,1,0,16
53,1,1,12
54,8,0,100
55,7,1,96
56,17,1,213
57,6,0,122
58,19,1,208
59,2,0,24
60,1,1,33
61,3,0,52
62,2,1,21
63,14,0,141
64,4,0,63
65,1,0,34
66,0,0,14
67,7,1,92
68,1,1,43
69,15,1,173
70,3,0,41
71,3,1,54
72,1,0,46
73,6,1,105
74,0,0,10
75,11,0,183
76,4,1,88
77,6,0,88
78,4,0,65
79,8,1,148
80,19,2,186
81,5,0,114
82,2,0,47
83,3,1,52
84,1,0,25
85,20,3,237
86,2,0,55
87,1,0,15
88,12,1,162
89,14,2,181
90,1,0,29
91,5,2,112
92,1,1,14
93,17,1,207
94,1,0,13
95,6,1,79
96,8,1,130
97,13,2,162
98,4,0,100
99,0,1,12
100,0,0,251
101,15,0,149
102,24,3,281
103,3,0,59
104,10,2,144
105,4,1,68
106,5,1,88
107,1,1,23
108,3,1,28
109,16,2,202
110,16,2,204
111,5,1,56
112,0,1,28
113,6,1,66
114,1,0,18
115,6,0,63
116,2,1,38
117,11,2,118
118,8,0,161
119,1,1,24
120,13,2,164
121,11,2,127
122,10,0,141
123,26,3,294
