game_index,food_eaten,kills,num_ticks_lived
1,0,0,16
2,4,0,308
3,3,0,201
4,3,1,67
5,25,1,340
6,23,0,309
7,17,1,212
8,3,0,40
9,21,2,311
10,2,0,22
11,22,4,360
12,5,0,54
13,0,0,21
14,25,1,391
15,3,0,41
16,2,0,32
17,4,2,93
18,2,1,67
19,6,0,67
20,9,0,92
21,31,0,521
22,1,1,15
23,1,1,36
24,8,1,161
25,0,0,251
26,1,1,19
27,11,1,169
28,3,1,46
29,2,0,44
30,3,0,86
31,15,1,193
32,16,0,247
33,1,0,270
34,17,2,180
35,1,0,23
36,10,2,108
37,1,1,22
38,9,1,147
39,2,1,34
40,9,0,128
41,2,2,39
42,19,1,295
43,3,1,58
44,1,1,38
45,9,3,92
46,2,0,66
47,1,0,22
48,15,1,248
49,2,1,33
50,1,0,9
51,1,0,23
52,1,1,24
53,1,0,29
54,9,3,111
55,9,2,143
56,1,0,32
57,1,0,24
58,1,0,29
59,31,3,458
60,0,0,10
61,7,0,99
62,24,2,335
63,5,1,93
64,3,2,72
65,1,1,45
66,1,0,43
67,10,1,144
68,2,0,60
69,0,0,41
70,7,0,83
71,2,0,61
72,28,1,494
73,8,2,105
74,14,3,154
75,5,0,189
76,0,0,20
77,1,0,11
78,4,4,66
79,13,1,164
80,0,0,9
81,11,2,155
82,1,0,40
83,4,0,48
84,2,0,52
85,0,0,24
86,11,0,433
87,2,0,40
88,2,0,22
89,13,0,412
90,12,1,207
91,9,1,167
92,1,1,14
93,3,1,29
94,1,0,16
95,1,0,39
96,8,1,154
97,16,1,181
98,5,0,102
99,20,2,312
100,1,0,25
101,8,1,71
102,3,1,28
103,1,1,66
104,1,0,19
105,1,0,27
106,1,0,64
107,1,1,27
108,40,2,590
109,3,1,78
110,0,0,28
111,1,1,20
112,10,1,146
113,33,2,570
114,4,0,98
115,1,0,31
116,23,1,271
117,7,1,100
118,9,1,75
119,6,1,38
120,0,0,41
121,9,0,439
122,2,1,10
123,2,0,47
124,3,0,17
125,15,1,181
126,0,0,21
127,7,0,104
128,6,1,104
129,9,2,129
130,1,0,45
131,0,0,15
132,2,0,27
133,2,1,42
134,9,0,212
135,5,0,351
136,7,1,100
137,6,1,114
138,2,1,36
139,0,0,15
140,14,2,188
141,6,2,45
142,18,4,286
143,17,0,256
144,3,0,69
145,12,1,144
146,1,0,9
147,2,0,38
148,2,2,12
149,0,0,33
150,3,0,61
151,0,1,23
152,1,0,29
153,4,1,56
154,15,1,148
155,19,1,223
156,7,2,123
157,22,1,304
158,16,1,188
159,3,1,17
160,27,1,413
161,9,2,66
162,1,1,78
163,4,0,74
164,2,0,24
165,33,1,486
166,5,0,355
167,32,2,420
168,0,0,10
169,15,1,344
170,1,0,42
171,4,0,77
172,7,1,76
173,0,0,16
174,2,0,63
175,2,0,21
176,4,0,50
177,19,3,204
178,4,0,84
179,10,0,54
180,11,2,153
181,6,1,64
182,5,0,85
183,34,3,665
184,10,1,143
185,2,1,13
186,3,0,93
187,9,0,89
188,1,0,23
189,1,0,16
190,7,2,113
191,1,1,26
192,13,1,142
193,6,3,55
194,4,0,58
195,7,0,72
196,0,0,251
197,13,0,185
198,0,0,22
199,10,1,157
200,5,0,100
201,6,1,65
202,15,3,171
203,9,2,85
204,1,0,61
205,3,0,314
206,0,0,7
207,1,0,22
208,1,0,27
209,0,0,10
210,14,0,153
211,2,0,56
212,2,0,17
213,6,0,109
214,11,1,139
215,10,0,84
216,14,1,126
217,12,1,140
218,19,2,361
219,6,1,71
220,5,1,82
221,4,1,53
222,21,1,367
223,16,2,172
224,4,0,55
225,0,1,19
226,4,0,105
227,8,1,72
228,13,2,169
229,9,1,93
230,2,1,15
231,2,1,27
232,13,2,105
233,3,0,278
234,12,0,169
235,2,1,68
236,14,1,157
237,1,0,27
238,1,0,15
239,1,0,21
240,2,0,44
241,6,0,102
242,6,0,106
243,14,2,161
244,1,0,25
245,18,1,246
246,2,2,16
247,2,0,25
248,9,0,367
249,8,1,151
250,0,0,89
251,3,1,44
252,34,1,661
253,8,1,73
254,2,0,37
255,3,1,30
256,15,0,179
257,6,1,321
258,1,0,40
259,5,1,78
260,21,2,347
261,4,1,40
262,2,0,30
263,19,1,313
264,27,1,449
265,3,0,46
266,9,1,104
267,2,1,27
268,8,0,140
269,5,0,68
270,4,1,53
271,3,0,47
272,16,2,176
273,3,0,57
274,2,0,29
275,3,1,63
276,26,3,426
277,1,1,24
278,2,0,44
279,7,2,120
280,5,0,52
281,20,1,209
282,8,1,122
283,0,0,13
284,3,2,54
285,7,1,113
286,9,1,150
287,18,1,300
288,4,0,36
289,13,0,243
290,11,1,85
291,0,0,44
292,10,0,190
293,12,1,123
294,21,2,259
295,5,0,73
296,2,0,47
297,5,0,536
298,35,3,486
299,3,1,63
300,3,1,38
301,14,0,225
302,2,0,52
303,17,2,216
304,3,2,23
305,0,0,14
306,2,0,49
307,2,0,35
308,1,0,19
309,1,0,32
310,1,1,46
311,11,0,182
312,0,0,12
313,0,0,19
314,10,0,75
315,2,0,17
316,1,0,29
317,16,2,125
318,9,0,119
319,1,0,43
320,7,1,62
321,14,1,157
322,26,1,392
323,3,1,49
324,5,0,63
325,3,0,135
326,4,3,84
327,9,1,114
328,11,2,104
329,4,0,95
330,14,1,137
331,1,0,25
332,31,0,501
333,0,0,12
334,24,1,278
335,14,1,197
336,10,1,126
337,2,0,73
338,3,0,36
339,8,1,116
340,29,0,398
341,27,1,334
342,2,1,21
343,4,0,325
344,3,1,61
345,2,0,106
346,1,1,30
347,3,1,34
348,3,0,94
349,2,0,44
350,0,0,19
351,1,0,21
352,4,1,79
353,4,1,33
354,0,0,251
355,9,2,82
356,1,1,21
357,18,0,247
358,3,1,52
359,8,1,396
360,0,0,12
361,3,0,56
362,4,1,61
363,0,0,12
364,5,0,58
365,2,0,63
366,13,1,210
367,4,1,63
368,1,0,124
369,7,2,120
370,0,0,19
371,15,1,237
372,0,0,19
373,20,1,346
374,8,1,79
375,5,1,73
376,4,2,61
377,3,0,65
378,17,3,145
379,1,0,23
380,8,1,61
381,8,1,89
382,23,2,373
383,19,2,231
384,6,1,396
385,3,0,280
386,6,1,128
387,20,1,419
388,10,0,133
389,3,0,30
390,6,1,95
391,15,2,169
392,13,1,174
393,16,0,320
394,0,0,251
395,0,0,251
396,10,1,119
397,4,1,118
398,24,2,371
399,0,1,18
400,7,0,98
401,0,0,25
402,9,2,128
403,0,1,22
404,17,2,219
405,0,0,8
406,11,4,154
407,11,0,84
408,1,0,89
409,6,2,64
410,0,1,22
411,0,0,12
412,1,0,46
413,1,0,25
414,10,2,175
415,3,0,30
416,1,1,64
417,3,1,54
418,4,0,102
419,8,2,132
420,13,0,153
421,6,1,74
422,8,1,171
423,9,1,54
424,11,0,189
425,20,1,357
426,3,0,57
427,3,1,52
428,20,3,288
429,2,1,29
430,0,0,18
431,4,2,67
432,1,1,21
433,3,0,33
434,6,0,103
435,10,2,111
436,31,0,437
437,0,0,251
438,1,2,35
439,1,1,11
440,18,3,186
441,14,1,136
442,6,1,104
443,1,0,34
444,1,1,40
445,15,1,215
446,6,1,114
447,6,0,79
448,24,0,261
449,19,0,256
450,4,0,46
451,0,0,9
452,2,0,33
453,8,0,282
454,14,1,167
455,16,1,184
456,1,0,20
457,2,0,53
458,10,0,377
459,1,0,16
460,1,0,39
461,6,0,67
462,3,0,33
463,5,0,80
464,2,0,35
465,3,1,42
466,2,0,43
467,11,1,105
468,19,1,382
469,3,0,60
470,3,1,48
471,22,1,459
472,2,2,15
473,5,1,163
474,5,0,308
475,1,1,30
476,5,0,63
477,9,1,148
478,0,0,7
479,4,0,92
480,2,1,19
481,6,0,52
482,15,1,249
483,20,2,176
484,5,0,163
485,0,0,56
486,1,0,47
487,5,1,93
488,1,0,50
489,3,1,20
490,2,0,44
491,15,1,206
492,2,2,43
493,6,1,67
494,5,0,34
495,14,1,149
496,8,1,366
497,7,0,360
498,0,0,251
499,0,0,14
500,3,1,48
501,12,1,154
502,18,1,306
503,37,2,572
504,6,0,117
505,2,0,37
506,3,0,25
507,2,0,52
508,10,1,206
509,1,1,17
510,2,0,30
511,5,0,35
512,10,1,88
513,11,1,152
514,11,2,127
515,7,1,316
516,7,2,132
517,1,1,23
518,1,0,20
519,0,0,20
520,2,0,68
521,24,2,294
522,0,0,251
523,1,1,23
524,10,1,77
525,3,0,27
526,18,1,203
527,27,0,304
528,7,0,82
529,12,4,230
530,10,0,195
531,6,1,38
532,6,1,214
533,16,0,257
534,1,0,22
535,2,0,30
536,1,1,257
537,6,1,88
538,5,0,60
539,25,0,487
540,10,0,87
541,1,0,17
542,6,1,60
543,4,1,59
544,13,0,140
545,3,0,36
546,7,0,117
547,7,1,111
548,8,0,326
549,2,0,45
550,2,1,43
551,9,2,95
552,4,0,52
553,4,0,122
554,14,2,235
555,6,0,86
556,16,1,289
557,2,0,30
558,1,0,19
559,4,0,102
560,1,0,40
561,13,0,137
562,0,0,20
563,0,0,11
564,3,1,74
565,5,1,64
566,29,3,347
567,13,1,165
568,4,1,68
569,25,3,280
570,24,2,421
571,2,0,37
572,0,0,14
573,3,0,47
574,2,0,9
575,14,1,173
576,2,0,56
577,1,0,26
578,7,0,124
579,14,0,135
580,8,0,91
581,1,0,14
582,3,2,27
583,20,1,363
584,32,0,431
585,9,0,88
586,10,2,185
587,5,0,91
588,3,0,32
589,21,2,312
590,3,0,11
591,4,2,64
592,1,0,14
593,11,1,157
594,2,0,58
595,0,0,19
596,3,0,30
597,22,1,230
598,2,1,41
599,6,2,93
600,2,0,19
601,4,1,69
602,2,0,41
603,2,1,21
604,4,2,62
605,3,2,67
606,19,1,213
607,8,1,153
608,2,0,41
609,11,2,65
610,16,0,475
611,3,0,74
612,1,2,18
613,8,2,78
614,1,0,28
615,1,1,15
616,5,1,66
617,3,0,61
618,5,0,327
619,11,1,115
620,1,0,26
621,3,0,33
622,0,0,19
623,10,0,376
624,3,0,39
625,1,1,24
626,1,0,35
627,31,0,395
628,1,0,15
629,1,0,52
630,16,2,184
631,16,2,302
632,0,0,23
633,2,1,26
634,0,0,22
635,9,3,109
636,1,1,29
637,6,0,83
638,4,1,52
639,27,0,316
640,10,0,71
641,29,1,463
642,4,0,38
643,2,0,40
644,8,3,86
645,3,0,306
646,17,1,308
647,0,0,13
648,3,1,313
649,4,1,93
650,4,1,46
651,3,1,74
652,2,0,25
653,28,3,312
654,31,1,581
655,2,1,31
656,8,2,96
657,5,0,322
658,8,0,97
659,3,1,78
660,19,1,220
661,1,2,12
662,2,0,39
663,8,0,517
664,11,1,106
665,5,1,320
666,9,0,79
667,11,1,183
668,3,0,32
669,4,0,309
670,4,2,57
671,4,1,56
672,0,0,29
673,1,0,11
674,6,1,79
675,27,1,370
676,5,0,149
677,25,2,377
678,15,1,152
679,12,0,253
680,7,0,175
681,1,1,19
682,4,0,65
683,1,0,41
684,6,0,147
685,2,0,42
686,3,0,74
687,0,1,24
688,0,0,251
689,7,3,59
690,4,0,136
691,5,3,64
692,1,0,139
693,13,2,156
694,2,0,41
695,11,4,183
696,6,2,80
697,1,0,9
698,4,0,297
699,2,1,42
700,11,1,102
701,0,0,34
702,8,1,138
703,9,1,138
704,13,0,163
705,5,1,133
706,0,0,12
707,5,0,325
708,8,1,98
709,25,0,460
710,1,1,45
711,13,2,226
712,2,0,21
713,1,0,20
714,1,1,17
715,0,0,32
716,1,0,35
717,2,0,59
718,6,0,76
719,0,0,24
720,1,0,53
721,2,1,97
722,2,0,27
723,3,0,18
724,0,0,9
725,0,0,6
726,0,0,15
727,2,0,70
728,3,1,61
729,1,1,22
730,0,0,31
731,18,1,241
732,7,1,418
733,19,0,220
