phase,episode,timestep,return,episode_length,food_collected,total_food_collected,final_snake_length,max_snake_length,epsilon
train,0,210,-6.210999999999985,211,0,0,1,1,0.99750625
train,1,682,-7.972000000000043,472,0,0,1,1,0.99190125
train,2,727,-12.545,45,0,0,1,1,0.991366875
train,3,899,-9.171999999999993,172,0,0,1,1,0.989324375
train,4,1081,-13.682000000000004,182,0,0,1,1,0.987163125
train,5,1184,-8.602999999999989,103,0,0,1,1,0.98594
train,6,2977,-28.293000000000028,1793,0,0,1,1,0.964648125
train,7,3181,186.2959999999998,204,2,2,3,3,0.962225625
train,8,3508,-15.327000000000009,327,0,2,1,1,0.9583425
train,9,3616,-12.607999999999993,108,0,2,1,1,0.95706
train,10,4185,-10.568999999999996,569,0,2,1,1,0.950303125
train,11,4387,-11.701999999999993,202,0,2,1,1,0.947904375
train,12,4489,-8.601999999999995,102,0,2,1,1,0.946693125
train,13,4613,-10.623999999999999,124,0,2,1,1,0.945220625
train,14,4726,-15.112999999999994,113,0,2,1,1,0.94387875
train,15,4999,-13.272999999999989,273,0,2,1,1,0.940636875
train,16,5310,83.6889999999988,311,1,3,2,2,0.93694375
train,17,6410,294.9000000000065,1100,3,6,4,4,0.92388125
train,18,7695,403.71499999999867,1285,4,10,5,5,0.908621875
train,19,7913,-10.717999999999993,218,0,10,1,1,0.906033125
train,20,8188,-12.274999999999988,275,0,10,1,1,0.9027675000000001
train,21,8230,-12.041999999999996,42,0,10,1,1,0.90226875
train,22,9006,-22.27600000000005,776,0,10,1,1,0.89305375
train,23,9742,81.76399999999941,736,1,11,2,2,0.88431375
train,24,9928,86.3139999999996,186,1,12,2,2,0.882105
validation,25,10000,-0.5000000000000009,1000,0,12,1,1,0.0
train,25,10382,91.0459999999996,454,1,13,2,2,0.87671375
train,26,10685,-2.3030000000000133,303,0,13,1,1,0.8731156250000001
train,27,11072,80.11299999999879,387,1,14,2,2,0.86852
train,28,11305,87.26699999999946,233,1,15,2,2,0.865753125
train,29,11345,-15.54,40,0,15,1,1,0.865278125
train,30,11675,182.1699999999987,330,2,17,3,3,0.861359375
train,31,11883,78.29199999999915,208,1,18,2,2,0.858889375
train,32,11985,84.39799999999995,102,1,19,2,2,0.8576781250000001
train,33,12465,95.51999999999984,480,1,20,2,2,0.851978125
train,34,12612,-7.147000000000013,147,0,20,1,1,0.8502325
train,35,12835,82.77699999999969,223,1,21,2,2,0.8475843750000001
train,36,12891,-12.055999999999997,56,0,21,1,1,0.846919375
train,37,12924,-12.032999999999998,33,0,21,1,1,0.8465275
train,38,13553,84.37099999999741,629,1,22,2,2,0.839058125
train,39,13702,-16.149000000000004,149,0,22,1,1,0.83728875
train,40,13892,-11.689999999999996,190,0,22,1,1,0.8350325000000001
train,41,13949,-16.057000000000006,57,0,22,1,1,0.834355625
train,42,14123,-6.673999999999993,174,0,22,1,1,0.832289375
train,43,14170,-8.046999999999997,47,0,22,1,1,0.83173125
train,44,14357,-17.187000000000012,187,0,22,1,1,0.829510625
train,45,14511,84.34599999999928,154,1,23,2,2,0.827681875
train,46,14724,-11.71299999999999,213,0,23,1,1,0.8251525
train,47,15002,-23.27800000000002,278,0,23,1,1,0.82185125
train,48,15097,-13.094999999999992,95,0,23,1,1,0.820723125
train,49,15281,304.3160000000017,184,3,26,4,4,0.818538125
train,50,15338,-10.056999999999999,57,0,26,1,1,0.81786125
train,51,15521,-19.683000000000007,183,0,26,1,1,0.815688125
train,52,15580,-8.559,59,0,26,1,1,0.8149875
train,53,15624,-13.543999999999997,44,0,26,1,1,0.814465
train,54,15766,-15.641999999999998,142,0,26,1,1,0.81277875
train,55,15849,85.41699999999989,83,1,27,2,2,0.811793125
train,56,16476,91.37299999999884,627,1,28,2,2,0.8043475
train,57,16641,93.33499999999961,165,1,29,2,2,0.802388125
train,58,16774,-7.132999999999991,133,0,29,1,1,0.8008087500000001
train,59,16869,90.40499999999972,95,1,30,2,2,0.799680625
train,60,17458,392.911000000002,589,4,34,5,5,0.79268625
train,61,17796,286.662,338,3,37,4,4,0.7886725
train,62,18662,391.13400000000115,866,4,41,5,5,0.77838875
train,63,18714,-10.052,52,0,41,1,1,0.77777125
train,64,18759,89.95499999999993,45,1,42,2,2,0.777236875
train,65,18937,-12.677999999999999,178,0,42,1,1,0.775123125
train,66,19544,383.89300000000515,607,4,46,5,5,0.767915
validation,67,20000,77.91699999999963,83,1,49,2,2,0.0
train,67,20001,292.0440000000021,457,3,49,1,4,0.762488125
train,68,20351,173.6499999999985,350,2,51,3,3,0.758331875
train,69,20505,-17.154000000000003,154,0,51,1,1,0.756503125
train,70,20626,89.37899999999985,121,1,52,2,2,0.75506625
train,71,20870,283.25600000000236,244,3,55,4,4,0.75216875
train,72,21352,89.01799999999982,482,1,56,2,2,0.746445
train,73,21590,-9.738000000000001,238,0,56,1,1,0.74361875
train,74,21651,-9.561,61,0,56,1,1,0.7428943750000001
train,75,21851,86.29999999999978,200,1,57,2,2,0.7405193750000001
train,76,22241,388.1099999999999,390,4,61,5,5,0.735888125
train,77,22344,-17.102999999999998,103,0,61,1,1,0.734665
train,78,22933,392.4109999999997,589,4,65,5,5,0.727670625
train,79,23607,374.3259999999983,674,4,69,5,5,0.7196668749999999
train,80,23694,97.91299999999994,87,1,70,2,2,0.71863375
train,81,23908,292.28600000000046,214,3,73,4,4,0.7160925
train,82,23934,-8.525999999999998,26,0,73,1,1,0.7157837499999999
train,83,24278,191.65599999999867,344,2,75,3,3,0.71169875
train,84,24584,283.6940000000014,306,3,78,4,4,0.7080649999999999
train,85,24649,190.93499999999977,65,2,80,3,3,0.7072931250000001
train,86,24848,396.8010000000003,199,4,84,5,5,0.7049300000000001
train,87,24871,82.97699999999996,23,1,85,2,2,0.704656875
train,88,24963,-14.591999999999997,92,0,85,1,1,0.703564375
train,89,25054,86.40899999999975,91,1,86,2,2,0.7024837500000001
train,90,25242,83.81199999999912,188,1,87,2,2,0.70025125
train,91,25458,86.78399999999992,216,1,88,2,2,0.6976862500000001
train,92,25740,288.218000000001,282,3,91,4,4,0.6943375
train,93,25776,-8.535999999999998,36,0,91,1,1,0.69391
train,94,25816,-6.539999999999999,40,0,91,1,1,0.693435
train,95,25929,-12.112999999999992,113,0,91,1,1,0.692093125
train,96,26028,-10.099,99,0,91,1,1,0.6909175000000001
train,97,26071,-13.042999999999997,43,0,91,1,1,0.6904068750000001
train,98,26130,-10.059,59,0,91,1,1,0.68970625
train,99,26159,-14.028999999999998,29,0,91,1,1,0.689361875
train,100,26336,180.82299999999924,177,2,93,3,3,0.68726
train,101,26678,387.1580000000024,342,4,97,5,5,0.6831987500000001
train,102,26732,-14.553999999999998,54,0,97,1,1,0.6825575
train,103,27032,295.7000000000022,300,3,100,4,4,0.678995
train,104,27208,-15.67600000000002,176,0,100,1,1,0.676905
train,105,27337,185.87099999999984,129,2,102,3,3,0.675373125
train,106,27642,287.69499999999937,305,3,105,4,4,0.67175125
train,107,28268,290.8740000000033,626,3,108,4,4,0.6643175
train,108,28307,-14.039,39,0,108,1,1,0.663854375
train,109,28353,-6.545999999999997,46,0,108,1,1,0.6633081249999999
train,110,28561,277.2919999999994,208,3,111,4,4,0.6608381249999999
train,111,28711,97.34999999999992,150,1,112,2,2,0.659056875
train,112,28760,-6.048999999999995,49,0,112,1,1,0.658475
train,113,28858,-18.598,98,0,112,1,1,0.65731125
train,114,28895,84.46299999999991,37,1,113,2,2,0.656871875
train,115,28949,-3.5540000000000065,54,0,113,1,1,0.6562306250000001
train,116,28961,-6.511999999999999,12,0,113,1,1,0.656088125
train,117,29138,191.32299999999958,177,2,115,3,3,0.65398625
train,118,29197,89.94099999999995,59,1,116,2,2,0.653285625
train,119,29594,88.10299999999964,397,1,117,2,2,0.64857125
validation,120,30000,-3.9999999999998903,1000,0,121,1,1,0.0
train,120,30020,402.0740000000013,426,4,121,1,5,0.6435125
train,121,30061,-7.040999999999997,41,0,121,1,1,0.643025625
train,122,30433,394.12800000000175,372,4,125,5,5,0.638608125
